773.00000000	102.00000000	43.00000000	246	110	34
774.00000000	101.00000000	44.00000000	246	108	35
774.00000000	102.00000000	44.00000000	246	110	35
771.00000000	103.00000000	44.00000000	245	111	35
772.00000000	103.00000000	44.00000000	246	111	35
773.00000000	103.00000000	44.00000000	246	111	35
775.00000000	100.00000000	45.00000000	247	107	37
775.00000000	101.00000000	45.00000000	247	108	37
774.00000000	102.00000000	45.00000000	246	110	37
774.00000000	103.00000000	45.00000000	246	111	37
771.00000000	104.00000000	45.00000000	245	113	37
772.00000000	104.00000000	45.00000000	246	113	37
773.00000000	104.00000000	45.00000000	246	113	37
775.00000000	99.00000000	46.00000000	247	105	38
775.00000000	100.00000000	46.00000000	247	107	38
775.00000000	101.00000000	46.00000000	247	108	38
775.00000000	102.00000000	46.00000000	247	110	38
774.00000000	103.00000000	46.00000000	246	111	38
774.00000000	104.00000000	46.00000000	246	113	38
772.00000000	105.00000000	46.00000000	246	114	38
773.00000000	105.00000000	46.00000000	246	114	38
774.00000000	105.00000000	46.00000000	246	114	38
772.00000000	106.00000000	46.00000000	246	115	38
774.00000000	98.00000000	47.00000000	246	104	40
775.00000000	99.00000000	47.00000000	247	105	40
775.00000000	100.00000000	47.00000000	247	107	40
775.00000000	101.00000000	47.00000000	247	108	40
775.00000000	102.00000000	47.00000000	247	110	40
775.00000000	103.00000000	47.00000000	247	111	40
774.00000000	104.00000000	47.00000000	246	113	40
774.00000000	105.00000000	47.00000000	246	114	40
773.00000000	106.00000000	47.00000000	246	115	40
771.00000000	107.00000000	47.00000000	245	117	40
772.00000000	107.00000000	47.00000000	246	117	40
773.00000000	107.00000000	47.00000000	246	117	40
774.00000000	97.00000000	48.00000000	246	103	41
775.00000000	98.00000000	48.00000000	247	104	41
775.00000000	99.00000000	48.00000000	247	105	41
775.00000000	100.00000000	48.00000000	247	107	41
775.00000000	101.00000000	48.00000000	247	108	41
775.00000000	102.00000000	48.00000000	247	110	41
775.00000000	103.00000000	48.00000000	247	111	41
774.00000000	104.00000000	48.00000000	246	113	41
774.00000000	105.00000000	48.00000000	246	114	41
774.00000000	106.00000000	48.00000000	246	115	41
774.00000000	107.00000000	48.00000000	246	117	41
771.00000000	108.00000000	48.00000000	245	118	41
772.00000000	108.00000000	48.00000000	246	118	41
773.00000000	108.00000000	48.00000000	246	118	41
774.00000000	96.00000000	49.00000000	246	101	42
775.00000000	97.00000000	49.00000000	247	103	42
775.00000000	98.00000000	49.00000000	247	104	42
775.00000000	99.00000000	49.00000000	247	105	42
775.00000000	100.00000000	49.00000000	247	107	42
775.00000000	101.00000000	49.00000000	247	108	42
775.00000000	102.00000000	49.00000000	247	110	42
775.00000000	103.00000000	49.00000000	247	111	42
774.00000000	104.00000000	49.00000000	246	113	42
774.00000000	105.00000000	49.00000000	246	114	42
774.00000000	106.00000000	49.00000000	246	115	42
774.00000000	107.00000000	49.00000000	246	117	42
774.00000000	108.00000000	49.00000000	246	118	42
771.00000000	109.00000000	49.00000000	245	120	42
772.00000000	109.00000000	49.00000000	246	120	42
773.00000000	109.00000000	49.00000000	246	120	42
775.00000000	96.00000000	50.00000000	247	101	44
775.00000000	97.00000000	50.00000000	247	103	44
775.00000000	98.00000000	50.00000000	247	104	44
775.00000000	99.00000000	50.00000000	247	105	44
775.00000000	100.00000000	50.00000000	247	107	44
775.00000000	101.00000000	50.00000000	247	108	44
775.00000000	102.00000000	50.00000000	247	110	44
774.00000000	103.00000000	50.00000000	246	111	44
774.00000000	104.00000000	50.00000000	246	113	44
774.00000000	105.00000000	50.00000000	246	114	44
774.00000000	106.00000000	50.00000000	246	115	44
774.00000000	107.00000000	50.00000000	246	117	44
774.00000000	108.00000000	50.00000000	246	118	44
774.00000000	109.00000000	50.00000000	246	120	44
771.00000000	110.00000000	50.00000000	245	121	44
772.00000000	110.00000000	50.00000000	246	121	44
773.00000000	110.00000000	50.00000000	246	121	44
774.00000000	95.00000000	51.00000000	246	100	45
775.00000000	96.00000000	51.00000000	247	101	45
775.00000000	97.00000000	51.00000000	247	103	45
775.00000000	98.00000000	51.00000000	247	104	45
775.00000000	99.00000000	51.00000000	247	105	45
775.00000000	100.00000000	51.00000000	247	107	45
775.00000000	101.00000000	51.00000000	247	108	45
774.00000000	102.00000000	51.00000000	246	110	45
774.00000000	103.00000000	51.00000000	246	111	45
774.00000000	104.00000000	51.00000000	246	113	45
774.00000000	105.00000000	51.00000000	246	114	45
774.00000000	106.00000000	51.00000000	246	115	45
774.00000000	107.00000000	51.00000000	246	117	45
774.00000000	108.00000000	51.00000000	246	118	45
774.00000000	109.00000000	51.00000000	246	120	45
773.00000000	110.00000000	51.00000000	246	121	45
771.00000000	111.00000000	51.00000000	245	122	45
772.00000000	111.00000000	51.00000000	246	122	45
775.00000000	94.00000000	52.00000000	247	98	47
776.00000000	94.00000000	52.00000000	247	98	47
775.00000000	95.00000000	52.00000000	247	100	47
775.00000000	96.00000000	52.00000000	247	101	47
775.00000000	97.00000000	52.00000000	247	103	47
775.00000000	98.00000000	52.00000000	247	104	47
775.00000000	99.00000000	52.00000000	247	105	47
775.00000000	100.00000000	52.00000000	247	107	47
774.00000000	101.00000000	52.00000000	246	108	47
774.00000000	102.00000000	52.00000000	246	110	47
774.00000000	103.00000000	52.00000000	246	111	47
774.00000000	104.00000000	52.00000000	246	113	47
774.00000000	105.00000000	52.00000000	246	114	47
774.00000000	106.00000000	52.00000000	246	115	47
774.00000000	107.00000000	52.00000000	246	117	47
774.00000000	108.00000000	52.00000000	246	118	47
